,x
1346,north carolina
1347,kansas
1348,colorado
1349,tennessee
1350,kansas
1351,kansas
1352,kansas
1353,NA
1354,kansas
1355,kansas
1356,kansas
1357,kansas
1358,kansas
1359,kansas
1360,kansas
1361,kansas
1362,kansas
1363,NA
1364,kansas
1365,kansas
1366,north carolina
1367,kansas
1368,NA
1369,kansas
1370,kansas
1371,kansas
1372,NA
1373,oregon
1374,NA
1375,virginia
1376,NA
1377,kansas
1378,pennsylvania
1379,virginia
1380,NA
1381,oklahoma
1382,oklahoma
1383,ohio
1384,nebraska
1385,south carolina
1386,NA
1387,kansas
1388,NA
1389,NA
1390,NA
1391,michigan
1392,NA
1393,new york
1394,NA
1395,massachusetts
1396,NA
1397,texas
1398,texas
1399,california
1400,tennessee
1401,kansas
1402,NA
1403,NA
1404,NA
1405,north carolina
1406,missouri
1407,new york
1408,california
1409,NA
1410,NA
1411,california
1412,illinois
1413,kansas
1414,new york
1415,california
1416,kansas
1417,california
1418,new hampshire
1419,NA
1420,new york
1421,kansas
1422,florida
1423,arkansas
1424,new york
1425,ohio
1426,kansas
1427,NA
1428,NA
1429,NA
1430,NA
1431,NA
1432,virginia
1433,NA
1434,NA
1435,oregon
1436,kansas
1437,NA
1438,NA
1439,arizona
1440,washington
1441,kansas
1442,michigan
1443,NA
1444,NA
1445,NA
1446,texas
1447,ohio
1448,georgia
1449,NA
1450,georgia
1451,pennsylvania
1452,florida
1453,texas
1454,new york
1455,pennsylvania
1456,illinois
1457,missouri
1458,georgia
1459,wisconsin
1460,minnesota
1461,NA
1462,wisconsin
1463,district of columbia
1464,utah
1465,NA
1466,kansas
1467,NA
1468,california
1469,NA
1470,arizona
1471,new mexico
1472,NA
1473,florida
1474,texas
1475,virginia
1476,texas
1477,kansas
1478,pennsylvania
1479,florida
1480,NA
1481,california
1482,ohio
1483,missouri
1484,NA
1485,florida
1486,NA
1487,georgia
1488,oklahoma
1489,florida
1490,NA
1491,NA
1492,illinois
1493,kansas
1494,texas
1495,iowa
1496,NA
1497,indiana
1498,florida
1499,kansas
1500,NA
1501,massachusetts
1502,ohio
1503,new york
1504,texas
1505,NA
1506,NA
1507,kansas
1508,pennsylvania
1509,NA
1510,NA
1511,missouri
1512,NA
1513,texas
1514,washington
1515,missouri
1516,california
1517,NA
1518,NA
1519,new mexico
1520,north carolina
1521,ohio
1522,ohio
1523,ohio
1524,new york
1525,NA
1526,NA
1527,massachusetts
1528,NA
1529,NA
1530,minnesota
1531,tennessee
1532,north carolina
1533,california
1534,NA
1535,new york
1536,pennsylvania
1537,pennsylvania
1538,NA
1539,kansas
1540,mississippi
1541,missouri
1542,NA
1543,kansas
1544,alabama
1545,NA
1546,texas
1547,new york
1548,illinois
1549,tennessee
1550,new york
1551,arkansas
1552,pennsylvania
1553,texas
1554,NA
1555,virginia
1556,oregon
1557,NA
1558,pennsylvania
1559,new jersey
1560,arkansas
1561,district of columbia
1562,new jersey
1563,kentucky
1564,michigan
1565,california
1566,maryland
1567,oklahoma
1568,pennsylvania
1569,alabama
1570,pennsylvania
1571,kansas
1572,NA
1573,texas
1574,florida
1575,ohio
1576,georgia
1577,NA
1578,washington
1579,missouri
1580,michigan
1581,kansas
1582,alabama
1583,florida
1584,illinois
1585,NA
1586,NA
1587,ohio
1588,NA
1589,alabama
1590,california
1591,california
1592,kansas
1593,colorado
1594,north carolina
1595,iowa
1596,kansas
1597,rhode island
1598,NA
1599,new york
1600,NA
1601,massachusetts
1602,california
1603,NA
1604,california
1605,kansas
1606,NA
1607,wyoming
1608,florida
1609,kansas
1610,texas
1611,NA
1612,NA
1613,georgia
1614,NA
1615,massachusetts
1616,NA
1617,NA
1618,tennessee
1619,kansas
1620,alabama
1621,florida
1622,colorado
1623,kansas
1624,california
1625,new york
1626,texas
1627,kansas
1628,california
1629,NA
1630,NA
1631,texas
1632,colorado
1633,kansas
1634,kentucky
1635,kansas
1636,nevada
1637,georgia
1638,colorado
1639,NA
1640,pennsylvania
1641,pennsylvania
1642,ohio
1643,texas
1644,alabama
1645,texas
1646,michigan
1647,kentucky
1648,new york
1649,NA
1650,michigan
1651,new jersey
1652,connecticut
1653,texas
1654,NA
1655,NA
1656,wisconsin
1657,michigan
1658,NA
1659,iowa
1660,massachusetts
1661,NA
1662,florida
1663,NA
1664,massachusetts
1665,pennsylvania
1666,arizona
1667,kansas
1668,new jersey
1669,NA
1670,missouri
1671,texas
1672,kansas
1673,mississippi
1674,NA
1675,virginia
1676,missouri
1677,california
1678,pennsylvania
1679,oregon
1680,north carolina
1681,oklahoma
1682,louisiana
1683,new jersey
1684,louisiana
1685,kansas
1686,florida
1687,illinois
1688,illinois
1689,connecticut
1690,utah
1691,pennsylvania
1692,new york
1693,connecticut
1694,illinois
1695,NA
1696,georgia
1697,georgia
1698,NA
1699,pennsylvania
1700,illinois
1701,NA
1702,north carolina
1703,kansas
1704,NA
1705,wisconsin
1706,wisconsin
1707,pennsylvania
1708,ohio
1709,tennessee
1710,texas
1711,pennsylvania
1712,oklahoma
1713,oklahoma
1714,NA
1715,michigan
1716,oklahoma
1717,NA
1718,NA
1719,texas
1720,tennessee
1721,pennsylvania
1722,nevada
1723,new york
1724,new jersey
1725,michigan
1726,pennsylvania
1727,arizona
1728,california
1729,florida
1730,rhode island
1731,michigan
1732,NA
1733,kansas
1734,wisconsin
1735,georgia
1736,NA
1737,illinois
1738,kentucky
1739,new york
1740,illinois
1741,illinois
1742,NA
1743,texas
1744,missouri
1745,massachusetts
1746,florida
1747,NA
1748,NA
1749,NA
1750,illinois
1751,NA
1752,new york
1753,california
1754,georgia
1755,texas
1756,oklahoma
1757,wisconsin
1758,georgia
1759,maryland
1760,NA
1761,texas
1762,NA
1763,illinois
1764,kansas
1765,NA
1766,oregon
1767,california
1768,maryland
1769,NA
1770,NA
1771,missouri
1772,north carolina
1773,oklahoma
1774,NA
1775,pennsylvania
1776,new jersey
1777,massachusetts
1778,kentucky
1779,illinois
1780,ohio
1781,NA
1782,kansas
1783,wisconsin
1784,tennessee
1785,oklahoma
1786,new hampshire
1787,louisiana
1788,texas
1789,texas
1790,florida
1791,minnesota
1792,delaware
1793,massachusetts
1794,colorado
1795,colorado
1796,kansas
1797,NA
1798,virginia
1799,georgia
1800,louisiana
1801,NA
1802,north carolina
1803,arkansas
1804,missouri
1805,texas
1806,kansas
1807,maryland
1808,massachusetts
1809,NA
1810,michigan
1811,california
1812,new jersey
1813,kansas
1814,wisconsin
1815,NA
1816,kansas
1817,south carolina
1818,new york
1819,north carolina
1820,maine
1821,NA
1822,kansas
1823,ohio
1824,illinois
1825,kansas
1826,california
1827,kansas
1828,california
1829,NA
1830,kansas
1831,NA
1832,oregon
1833,new york
1834,new york
1835,virginia
1836,illinois
1837,minnesota
1838,new york
1839,georgia
1840,north carolina
1841,new york
1842,texas
1843,georgia
1844,NA
1845,arkansas
1846,tennessee
1847,kansas
1848,kentucky
1849,new york
1850,pennsylvania
1851,NA
1852,ohio
1853,NA
1854,pennsylvania
1855,pennsylvania
1856,florida
1857,NA
1858,NA
1859,texas
1860,connecticut
1861,kansas
1862,georgia
1863,NA
1864,illinois
1865,michigan
1866,colorado
1867,colorado
1868,district of columbia
1869,tennessee
1870,wyoming
1871,florida
1872,new york
1873,tennessee
1874,colorado
1875,NA
1876,wisconsin
1877,tennessee
1878,wisconsin
1879,arizona
1880,massachusetts
1881,NA
1882,california
1883,new jersey
1884,kentucky
1885,kentucky
1886,kansas
1887,NA
1888,new york
1889,indiana
1890,georgia
1891,NA
1892,illinois
1893,california
1894,oklahoma
1895,pennsylvania
1896,massachusetts
1897,maine
1898,minnesota
1899,NA
1900,indiana
1901,michigan
1902,new york
1903,utah
1904,tennessee
1905,new mexico
1906,texas
1907,mississippi
1908,NA
1909,texas
1910,missouri
1911,NA
1912,pennsylvania
1913,NA
1914,new york
1915,NA
1916,georgia
1917,new york
1918,florida
1919,kansas
1920,pennsylvania
1921,michigan
1922,NA
1923,NA
1924,oregon
1925,new york
1926,arizona
1927,new mexico
1928,NA
1929,south carolina
1930,washington
1931,new york
1932,NA
1933,michigan
1934,kansas
1935,illinois
1936,kansas
1937,indiana
1938,georgia
1939,louisiana
1940,ohio
1941,new york
1942,california
1943,florida
1944,kansas
1945,massachusetts
1946,south carolina
1947,louisiana
1948,georgia
1949,NA
1950,florida
1951,mississippi
1952,NA
1953,NA
1954,florida
1955,kansas
1956,kansas
1957,illinois
1958,arkansas
1959,new jersey
1960,new york
1961,NA
1962,oklahoma
1963,NA
1964,texas
1965,virginia
1966,kansas
1967,florida
1968,NA
1969,kansas
1970,ohio
1971,missouri
1972,minnesota
1973,tennessee
1974,NA
1975,texas
1976,illinois
1977,missouri
